user_id,user_name,total_picks,settled_picks,wins,losses,win_rate,avg_entry_price
10702399-c853-4d2b-b951-85436ce12790,Leciamarko,1,1,1,0,1.0,51.0
4f5b4f8d-e7fa-4510-830b-cd63ba98bbaa,abhiveerk,1,1,1,0,1.0,50.0
f2bd16ec-a12a-4192-ac54-d3946cd7f4b0,Saujas,1,1,1,0,1.0,50.0
d990bf88-b48f-4cd2-b1ac-a2276814e49b,aderosiere,3,3,3,0,1.0,50.0
cf1c33bd-5be9-4853-9092-93efd0a89326,saksham26,7,7,6,1,0.857,50.3
00ce36ec-d448-4ac8-9f1f-7660fae51128,bulawa,14,12,10,2,0.833,50.1
7b98ffde-053f-419d-ae2e-d948f09f84cd,Cmrick,5,4,3,1,0.75,50.0
5f38cb20-811b-4677-9d80-adcd45a9806f,chiccytendies,3,3,2,1,0.667,49.7
356db57a-8938-4f5d-a113-497aa54e3d3d,Igotlikehellamoney,10,10,5,5,0.5,50.1
5d0cf546-81da-435e-99ce-27253e752cf7,PlanC,10,10,4,6,0.4,50.4
eff4f4f7-ba13-46fb-96c5-b69e8cda9ad5,Kash,5,5,2,3,0.4,49.8
70259c4b-a6e0-4157-88c6-42cd60af9b18,Alexandre Corchia,4,4,1,3,0.25,50.2
ba9fdfcc-32d6-4a6c-95a5-88d4e8168038,sarangobongo,6,6,1,5,0.167,49.8
2b8c275e-84de-40c5-9962-3459837f9557,Aidan Meagher,1,1,0,1,0.0,50.0
a2eecb6c-fecb-4303-abc1-aa10fec32402,mani,1,1,0,1,0.0,49.0
c1c6ae82-6c8c-429e-9a16-3889710389a7,pokerbot,1,1,0,1,0.0,50.0
