rank,player,smart_rating,total,settled,wins,losses,brier_sum,win_rate,avg_brier
1,dromary30,,7,7,6,1,0.9814,0.857,0.1402
2,Rammers,,6,6,5,1,1.1355,0.833,0.1893
3,Aannddyysshhaaa,,12,12,7,5,2.3054,0.583,0.1921
4,Manny art 913,,13,13,10,3,2.0854,0.769,0.1604
5,VANTIX,,96,96,52,44,20.0968,0.542,0.2093
6,Thinktanktim37,,12,12,10,2,1.6968,0.833,0.1414
7,Entertainment P,,8,8,6,2,1.0209,0.75,0.1276
8,Gabe,,10,10,3,7,2.3528,0.3,0.2353
9,AMIR.PREDICTS,,16,16,8,8,3.4429,0.5,0.2152
10,Abdulaziz Mohamud,,20,20,11,9,4.3883,0.55,0.2194
11,kendrix d absalux,,8,8,6,2,1.4744,0.75,0.1843
12,Bob123,,17,17,11,6,3.5541,0.647,0.2091
13,DeDubClub,,24,24,11,13,4.8736,0.458,0.2031
14,Dimmetrio,,24,24,20,4,5.1458,0.833,0.2144
15,Lekow,,24,24,15,9,4.9598,0.625,0.2067
16,mahziyarap,,24,24,14,10,5.1109,0.583,0.213
17,Sylvakov,,12,12,8,4,2.2962,0.667,0.1913
18,Frankie 1,,24,24,14,10,5.1828,0.583,0.216
19,Davebenfield1978,,24,24,14,10,5.2,0.583,0.2167
20,Koko,,28,28,13,15,5.8772,0.464,0.2099
21,DPalaia,,48,48,31,17,10.5362,0.646,0.2195
22,Salamander0617,,24,24,11,13,4.8249,0.458,0.201
23,Zenit,,39,39,21,18,8.3586,0.538,0.2143
24,Wow,,22,22,8,14,4.5163,0.364,0.2053
25,Louis Rain,,24,24,8,16,5.0934,0.333,0.2122
27,Mrdiaz71,,48,48,27,21,10.7443,0.562,0.2238
28,Mhica Gan,,10,10,7,3,1.5065,0.7,0.1507
