event_id,date,match,stage,halftime_sub,halftime_sub_teams
760415,2026-06-11,Mexico vs South Africa,"2026 FIFA World Cup, Group Stage",0,
760416,2026-06-12,Canada vs Bosnia-Herzegovina,"2026 FIFA World Cup, Group Stage",0,
760417,2026-06-13,United States vs Paraguay,"2026 FIFA World Cup, Group Stage",1,Paraguay|United States
760419,2026-06-13,Brazil vs Morocco,"2026 FIFA World Cup, Group Stage",1,Brazil
760420,2026-06-13,Qatar vs Switzerland,"2026 FIFA World Cup, Group Stage",0,
760421,2026-06-14,Australia vs Türkiye,"2026 FIFA World Cup, Group Stage",1,Türkiye
760426,2026-06-15,Belgium vs Egypt,"2026 FIFA World Cup, Group Stage",0,
760428,2026-06-15,Spain vs Cape Verde,"2026 FIFA World Cup, Group Stage",0,
760430,2026-06-16,Iraq vs Norway,"2026 FIFA World Cup, Group Stage",0,
760431,2026-06-17,Austria vs Jordan,"2026 FIFA World Cup, Group Stage",1,Austria
760432,2026-06-16,France vs Senegal,"2026 FIFA World Cup, Group Stage",0,
760433,2026-06-17,Argentina vs Algeria,"2026 FIFA World Cup, Group Stage",1,Argentina
760434,2026-06-17,Ghana vs Panama,"2026 FIFA World Cup, Group Stage",1,Ghana
760435,2026-06-17,Portugal vs Congo DR,"2026 FIFA World Cup, Group Stage",1,Portugal
760436,2026-06-18,Uzbekistan vs Colombia,"2026 FIFA World Cup, Group Stage",1,Uzbekistan
760437,2026-06-17,England vs Croatia,"2026 FIFA World Cup, Group Stage",0,
760439,2026-06-18,Switzerland vs Bosnia-Herzegovina,"2026 FIFA World Cup, Group Stage",0,
760440,2026-06-18,Canada vs Qatar,"2026 FIFA World Cup, Group Stage",1,Qatar|Canada
760441,2026-06-19,Mexico vs South Korea,"2026 FIFA World Cup, Group Stage",0,
760442,2026-06-19,United States vs Australia,"2026 FIFA World Cup, Group Stage",1,Australia
760443,2026-06-20,Türkiye vs Paraguay,"2026 FIFA World Cup, Group Stage",1,Paraguay|Türkiye
760444,2026-06-20,Brazil vs Haiti,"2026 FIFA World Cup, Group Stage",1,Haiti
760445,2026-06-19,Scotland vs Morocco,"2026 FIFA World Cup, Group Stage",0,
760447,2026-06-20,Netherlands vs Sweden,"2026 FIFA World Cup, Group Stage",1,Netherlands
760450,2026-06-21,Uruguay vs Cape Verde,"2026 FIFA World Cup, Group Stage",1,Cape Verde
760452,2026-06-22,New Zealand vs Egypt,"2026 FIFA World Cup, Group Stage",0,
760453,2026-06-21,Spain vs Saudi Arabia,"2026 FIFA World Cup, Group Stage",1,Spain|Saudi Arabia
760454,2026-06-23,Norway vs Senegal,"2026 FIFA World Cup, Group Stage",1,Norway
760455,2026-06-23,Jordan vs Algeria,"2026 FIFA World Cup, Group Stage",1,Algeria
760456,2026-06-22,Argentina vs Austria,"2026 FIFA World Cup, Group Stage",0,
760457,2026-06-22,France vs Iraq,"2026 FIFA World Cup, Group Stage",0,
760458,2026-06-23,England vs Ghana,"2026 FIFA World Cup, Group Stage",0,
760459,2026-06-24,Colombia vs Congo DR,"2026 FIFA World Cup, Group Stage",1,Congo DR
760460,2026-06-23,Panama vs Croatia,"2026 FIFA World Cup, Group Stage",1,Croatia
760461,2026-06-23,Portugal vs Uzbekistan,"2026 FIFA World Cup, Group Stage",1,Uzbekistan|Portugal
760463,2026-06-24,Switzerland vs Canada,"2026 FIFA World Cup, Group Stage",0,
760464,2026-06-24,Morocco vs Haiti,"2026 FIFA World Cup, Group Stage",0,
760465,2026-06-24,Scotland vs Brazil,"2026 FIFA World Cup, Group Stage",1,Scotland
760467,2026-06-25,Czechia vs Mexico,"2026 FIFA World Cup, Group Stage",0,
760469,2026-06-26,Paraguay vs Australia,"2026 FIFA World Cup, Group Stage",1,Paraguay
760475,2026-06-26,Norway vs France,"2026 FIFA World Cup, Group Stage",1,Norway
760476,2026-06-27,Egypt vs Iran,"2026 FIFA World Cup, Group Stage",1,Iran|Egypt
760478,2026-06-27,Cape Verde vs Saudi Arabia,"2026 FIFA World Cup, Group Stage",1,Saudi Arabia
760479,2026-06-27,Uruguay vs Spain,"2026 FIFA World Cup, Group Stage",1,Uruguay
760480,2026-06-27,Croatia vs Ghana,"2026 FIFA World Cup, Group Stage",1,Ghana
760481,2026-06-27,Colombia vs Portugal,"2026 FIFA World Cup, Group Stage",1,Portugal
760483,2026-06-28,Jordan vs Argentina,"2026 FIFA World Cup, Group Stage",1,Jordan
760484,2026-06-28,Algeria vs Austria,"2026 FIFA World Cup, Group Stage",1,Austria
760485,2026-06-27,Panama vs England,"2026 FIFA World Cup, Group Stage",1,Panama
760486,2026-06-28,South Africa vs Canada,"2026 FIFA World Cup, Round of 32",1,South Africa
760487,2026-06-29,Brazil vs Japan,"2026 FIFA World Cup, Round of 32",1,Brazil
760488,2026-06-30,Netherlands vs Morocco,"2026 FIFA World Cup, Round of 32",0,
760489,2026-06-29,Germany vs Paraguay,"2026 FIFA World Cup, Round of 32",1,Germany
760490,2026-06-30,Ivory Coast vs Norway,"2026 FIFA World Cup, Round of 32",0,
760491,2026-07-01,Mexico vs Ecuador,"2026 FIFA World Cup, Round of 32",1,Ecuador
760492,2026-06-30,France vs Sweden,"2026 FIFA World Cup, Round of 32",0,
760495,2026-07-01,England vs Congo DR,"2026 FIFA World Cup, Round of 32",0,
760502,2026-07-04,Canada vs Morocco,"2026 FIFA World Cup, Round of 16",0,
760507,2026-07-07,United States vs Belgium,"2026 FIFA World Cup, Round of 16",1,United States
